T,lon,lat,Regime,Link
1959,-76.873,34.688,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1959_results.png
2976,-81.276,29.895,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2976_results.png
1119,-79.247,33.135,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1119_results.png
1537,-81.275,31.252,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1537_results.png
2899,-80.939,29.102,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2899_results.png
2059,-76.361,34.813,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2059_results.png
1918,-77.234,34.593,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1918_results.png
1522,-81.369,31.145,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1522_results.png
1331,-81.266,29.858,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1331_results.png
1273,-81.168,29.563,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1273_results.png
2328,-75.744,36.165,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2328_results.png
1264,-81.15,29.526,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1264_results.png
29,-75.624,35.959,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T29_results.png
1967,-76.82,34.694,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1967_results.png
1900,-77.363,34.518,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1900_results.png
1357,-81.317,29.999,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1357_results.png
2171,-75.542,35.23,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2171_results.png
25,-75.612,35.939,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T25_results.png
2168,-75.565,35.235,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2168_results.png
2959,-81.08,29.378,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2959_results.png
2201,-75.5,35.355,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2201_results.png
1223,-77.365,34.517,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1223_results.png
2119,-75.904,35.132,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2119_results.png
1928,-77.153,34.629,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1928_results.png
882,-81.16,31.575,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T882_results.png
1441,-81.395,30.393,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1441_results.png
1787,-77.877,34.068,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1787_results.png
1971,-76.794,34.696,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1971_results.png
2020,-76.514,34.632,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2020_results.png
1270,-81.162,29.551,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1270_results.png
2163,-75.583,35.235,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2163_results.png
2311,-75.679,36.05,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2311_results.png
2178,-75.522,35.254,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2178_results.png
1206,-77.717,34.292,Inundation/Overwash,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T1206_results.png
2955,-81.072,29.362,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T2955_results.png
17,-75.591,35.902,Collision,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/IAN_9-29-12/T17_results.png
