T,lon,lat,Regime,% Vol,link
2802,-80.605,28.356,Inundation/Overwash,35,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2802_results.png
1377,-81.338,30.087,Inundation/Overwash,47,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1377_results.png
1253,-81.128,29.482,Inundation/Overwash,59,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1253_results.png
2771,-80.571,28.107,Inundation/Overwash,74,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2771_results.png
2429,-80.053,26.495,Collision,46,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2429_results.png
1705,-80.063,26.42,Collision,49,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1705_results.png
2870,-80.717,28.766,Inundation/Overwash,123,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2870_results.png
1428,-81.396,30.333,Inundation/Overwash,1,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1428_results.png
1496,-81.426,30.853,Inundation/Overwash,0,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1496_results.png
1523,-81.367,31.151,Inundation/Overwash,5,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1523_results.png
2911,-80.972,29.158,Inundation/Overwash,15,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2911_results.png
2427,-80.054,26.487,Inundation/Overwash,57,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2427_results.png
1376,-81.337,30.083,Inundation/Overwash,62,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1376_results.png
2686,-80.367,27.69,Inundation/Overwash,68,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2686_results.png
2769,-80.565,28.09,Inundation/Overwash,83,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2769_results.png
2832,-80.552,28.508,Inundation/Overwash,22,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2832_results.png
2450,-80.038,26.587,Inundation/Overwash,101,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2450_results.png
1292,-81.204,29.649,Inundation/Overwash,99,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1292_results.png
1251,-81.124,29.473,Inundation/Overwash,68,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1251_results.png
1752,-80.048,26.863,Collision,36,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1752_results.png
2413,-80.063,26.421,Collision,26,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2413_results.png
1269,-81.16,29.547,Inundation/Overwash,79,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1269_results.png
2829,-80.543,28.493,Inundation/Overwash,85,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2829_results.png
2677,-80.355,27.653,Inundation/Overwash,58,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2677_results.png
2525,-80.069,26.931,Inundation/Overwash,108,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2525_results.png
1247,-81.116,29.457,Inundation/Overwash,69,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1247_results.png
1288,-81.197,29.632,Inundation/Overwash,118,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1288_results.png
2625,-80.276,27.43,Inundation/Overwash,96,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2625_results.png
1284,-81.189,29.612,Collision,35,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1284_results.png
2497,-80.034,26.809,Inundation/Overwash,69,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2497_results.png
1280,-81.182,29.596,Inundation/Overwash,98,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1280_results.png
1458,-81.438,30.532,Inundation/Overwash,46,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1458_results.png
2761,-80.535,28.022,Inundation/Overwash,32,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2761_results.png
1298,-81.216,29.678,Inundation/Overwash,88,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1298_results.png
1497,-81.424,30.861,Inundation/Overwash,38,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1497_results.png
2907,-80.961,29.138,Inundation/Overwash,39,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2907_results.png
2640,-80.299,27.496,Inundation/Overwash,65,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2640_results.png
1468,-81.442,30.608,Inundation/Overwash,39,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T1468_results.png
2871,-80.77,28.848,Inundation/Overwash,58,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2871_results.png
2901,-80.944,29.109,Inundation/Overwash,68,https://github.com/jessgorski/NOPP-NCSU-Website/blob/main/NICOLE_11-7-12/T2901_results.png
