T,lon,lat,Regime,% Vol
3948,-82.337,26.889,Inundation/Overwash,11
3910,-82.451,27.076,Collision,56
4054,-82.118,26.433,Inundation/Overwash,-6
3881,-82.535,27.245,Collision,24
4071,-82.036,26.44,Inundation/Overwash,3
4100,-81.828,26.273,Inundation/Overwash,90
3880,-82.549,27.264,Collision,1
3966,-82.282,26.816,Inundation/Overwash,0
1601,-81.783,26.052,Inundation/Overwash,110
1613,-81.749,25.948,Inundation/Overwash,116
4021,-82.194,26.527,Inundation/Overwash,117
3752,-82.844,27.848,Collision,6
3761,-82.827,27.82,Collision,5
3756,-82.838,27.838,Collision,4
3729,-82.831,27.959,Collision,1
4053,-82.12,26.434,Inundation/Overwash,3
3747,-82.849,27.863,Collision,0
3819,-82.737,27.526,Collision,3
1561,-81.854,26.35,Inundation/Overwash,74
3802,-82.738,27.685,Collision,3
1562,-81.851,26.343,Inundation/Overwash,31
3749,-82.847,27.857,Collision,0
3825,-82.722,27.512,Collision,68
1600,-81.785,26.056,Inundation/Overwash,137
3855,-82.649,27.398,Collision,8
3859,-82.635,27.378,Collision,3
1607,-81.766,26.017,Inundation/Overwash,135
4098,-81.831,26.287,Inundation/Overwash,34
4007,-82.222,26.591,Inundation/Overwash,5
3884,-82.521,27.226,Collision,20
3757,-82.836,27.834,Collision,6
3824,-82.725,27.514,Collision,71
3930,-82.389,26.968,Inundation/Overwash,76
3712,-82.833,28.065,Inundation/Overwash,23
3798,-82.738,27.701,Collision,-1
3999,-82.23,26.633,Inundation/Overwash,91
3808,-82.743,27.648,Collision,0
3869,-82.598,27.337,Collision,11
3939,-82.361,26.924,Collision,41
